,Rendement Annuel (%),Volatilité (%),Sharpe Ratio,Skewness,Kurtosis,Min Return (%),Max Return (%),Secteur
CVX,7.702988047427081,35.21286760148989,0.16195750121713412,-1.0933314226662574,25.206450450095147,-25.006247125368763,20.490362735440257,Energy
COP,11.61055111288537,43.52876889941779,0.22078619165849905,-0.6753195429938574,16.582627732272105,-28.55518275070302,22.485270294239072,Energy
EOG,11.859715669278554,46.82012115810148,0.21058714555616836,-1.6231260840458692,25.3969442324194,-38.57689699113932,15.332395590844264,Energy
SLB,1.2285743923012282,48.61101087030757,-0.015869359511097348,-0.8858509343526384,12.960718515077277,-32.04997496617536,18.155488771295662,Energy
HAL,3.4270511506242767,55.87082097592319,0.025541975680637412,-2.141931650527292,31.81406015719846,-47.23015944510747,23.52833140498988,Energy
DVN,10.247714958498165,58.03690734134565,0.14211155170603773,-1.5348297137783005,24.02716892514145,-46.83593929221494,19.121618345205153,Energy
OXY,4.219386773047256,64.77356495380165,0.0342637737266767,-4.004697111803018,84.31407214930022,-73.42567900269214,29.041133917372214,Energy
MPC,18.88981567013682,46.77751591239673,0.36106696434602187,-1.0818722735184116,17.425750336326807,-31.483309792983256,18.754596697133213,Energy
VLO,9.033279873107107,47.31533823293195,0.14864693217413955,0.20412906682020338,10.853548438872162,-21.34517280391436,27.157189620568957,Energy
PSX,4.369685672098593,41.94476817754331,0.05649538130877768,-0.08564144990404883,7.367668438150329,-17.27570845490141,20.026152687663,Energy
KMI,11.245290673199019,31.961822490739785,0.2892604348790696,-1.8117963862386235,27.2641222102756,-23.628340644554992,15.505679460913427,Energy
WMB,21.828063044931934,34.92223037954027,0.5677776828523676,-1.3415540720994537,30.74582338447613,-27.105827558322282,17.36305584045566,Energy
EQT,29.94275052885309,55.004749904446015,0.5080061372407856,0.6149561530196291,7.545881537012125,-20.65043409274364,31.7142913136795,Energy
JPM,13.035818443024452,31.85847808484913,0.3464013068556697,0.005352062385825605,13.14687851977946,-16.2105550149226,16.56204134812406,Financials
BAC,6.453157899224758,34.99360480892211,0.12725633508009906,0.06170658580088588,10.652745552380473,-16.720445263135232,16.378581711295393,Financials
C,0.9184333893907335,38.546414277443795,-0.028058812496138376,-0.4527405085062471,13.398426408798919,-21.441435004895453,16.538127593323352,Financials
WFC,7.742439860893,38.4292891105874,0.14942872985154798,-0.20135454725825713,7.035434724857694,-17.27784714539056,13.570727830882271,Financials
GS,19.632704031004238,32.44928032115577,0.5433927611487995,-0.038394812576184184,10.455613021883327,-13.58802456944765,16.195118314301553,Financials
MS,20.168144192600526,34.901336525950974,0.5205572623011603,0.15265241872862154,13.201503498285092,-16.960273635215213,18.040355001306345,Financials
BLK,15.944055781442264,30.893044846773954,0.4513655371493235,-0.07989632661067192,9.216779952402321,-14.681446563035779,12.68431460055253,Financials
BK,10.938641141553635,30.87902131174131,0.2894729418822235,-0.4156709628486916,10.81550127140518,-15.669303922078944,14.510878908071822,Financials
STT,6.789448888905304,37.810187664193684,0.12667085737426584,-0.38546521610001144,11.829993830302497,-20.981105011092346,20.14639596531804,Financials
TROW,1.869936749964884,34.26925484658973,-0.003795333473615317,0.11888151123080253,8.513522802519942,-14.005113404528174,16.69185643696754,Financials
SCHW,9.652290941011538,38.03503790409842,0.2011905696086338,-0.12074792134847782,7.003399645421004,-13.661081458410731,17.508458850659988,Financials
AXP,17.841561830380968,37.44586061291664,0.4230524167714429,0.6151023711321878,14.38956954548701,-16.038802020467248,19.788531907659728,Financials
COF,12.239632010613809,44.06231562401196,0.23238978400476246,-0.5570078922239875,12.86333551222196,-27.27831765640095,17.188703264277517,Financials
USB,0.04242799336360699,37.314414339989106,-0.052461549812896364,-0.17107211525466381,7.340329416211954,-15.595877460796375,16.014349074535893,Financials
PNC,7.138126981671385,35.360473997671555,0.14530707314640987,-0.23224299157503464,8.154328484068294,-17.316553822000387,12.171676357057573,Financials
TFC,-0.7350431729718176,41.32124800556244,-0.06618975236671558,-0.6132423653934466,10.230714589233482,-21.190036073796144,15.908746759892162,Financials
CMA,2.028934813856964,51.079891863540205,0.0005664619246701479,-1.206478975242584,14.615739851723003,-32.38669318569532,18.213611933116955,Financials
MTB,5.035417281900858,39.83292844483855,0.0762037188931355,0.3159765184744596,9.015595616129586,-14.95317223776024,22.391013636050136,Financials
RF,10.115110141402173,42.57686282426133,0.19059906256827325,-0.6149641195390869,9.610094230232058,-21.489588291038856,15.382229258704749,Financials
CB,12.770806852619748,28.407427385682603,0.3791546029982375,-0.9707063008551553,13.181487931906535,-18.360238952111168,8.502785675623887,Financials
TRV,12.985676847012662,29.292019109078492,0.37503993173375555,-2.019128828465326,28.088415629744972,-23.31986843984578,12.478311072943347,Financials
AIG,9.196508249999773,39.8699018721706,0.18049977331454067,-1.018176669266111,14.890742260522373,-23.376074599649762,17.234114248817654,Financials
MET,12.25616806362191,34.7027788831904,0.2955431349790224,-0.766891994029197,13.548128613815326,-18.20151089223268,15.990208253313268,Financials
PRU,9.191005578608186,37.529572021464084,0.1916090483125007,-0.9480528819716003,18.673949300292783,-22.456788643656903,19.09111216282165,Financials
JNJ,2.5010127191995455,19.258149097142844,0.026015621577770213,0.25483559238054987,8.492451372199774,-7.578400728134787,7.6940073717517485,Health Care
PFE,-2.361385187169211,26.90899407702766,-0.16207908681701882,0.22497891361728733,3.9817603261494043,-8.050135575615599,10.305458059302818,Health Care
MRK,5.366788598177302,23.15711376073025,0.14538895619568487,-0.45130108520191603,8.354900448089868,-10.384015979023994,8.042187777311533,Health Care
ABBV,17.38796662223031,24.52249348213354,0.6275041579047248,-1.2107516857227496,13.284210122906256,-13.928773368961753,8.358195323743397,Health Care
LLY,35.35314051504116,31.553253760225235,1.0570428257096194,1.0711065431041735,9.38316551779951,-10.5344861447903,14.565545169681318,Health Care
BMY,1.0869281351504254,23.21133898459221,-0.0393373198097566,0.17625918860755457,7.696631090304168,-8.898555566508232,10.83381933299278,Health Care
GILD,10.669328899970356,25.610210458985268,0.33851064651945284,0.5091153720401511,7.868760056367016,-10.702940569230174,12.151130201857294,Health Care
AMGN,4.536689599966777,25.607327643358595,0.09906108264384554,0.43129439632034955,7.809911875429394,-8.622001930643716,11.17018203348207,Health Care
MDT,-4.2251086043582635,26.190963544304154,-0.23768154210241194,-0.4054376443173329,8.498408411031832,-13.72374768318487,9.702926640510407,Health Care
SYK,11.434829722203915,30.258005207813397,0.3118126808890759,-0.4444876701982238,10.392743671311823,-14.048005473751196,12.567472906809495,Health Care
ISRG,18.626563410029355,34.87989411358183,0.4766804439224247,-0.16584731367322328,8.31795806075573,-15.47393207264153,16.079065027773453,Health Care
DHR,10.286084887991212,27.491953311546023,0.30140036955872596,-0.035761216767306626,4.101705038473593,-10.230807475655258,9.256262004809718,Health Care
TMO,9.242180137995506,27.45284511229445,0.2638043564654862,-0.058233939748712604,3.461255016743545,-8.651168310021243,9.957383237888221,Health Care
UNH,12.006428844017869,29.44380330659883,0.3398483796342732,-0.6077793954366999,15.23301042512092,-18.96711557967156,12.043650365426354,Health Care
HUM,-6.18526357207496,36.02309787453382,-0.22722264477596343,-1.297245053333442,16.364007829973396,-21.531505848462825,13.91712683768606,Health Care
CI,7.093253254526082,33.21142095479728,0.15335848657178208,-0.14102928044331947,12.221363822180674,-17.700937186188362,15.427210229095643,Health Care
HCA,14.530283982943345,37.58994814366233,0.3333413479330897,-0.7848561721267813,21.405732005837336,-24.619505643966757,20.34290670767172,Health Care
CVS,-6.775460049908663,30.17082527080232,-0.2908591319973297,-1.1570396448506761,13.36315291675675,-18.436157454141583,10.73281850253167,Health Care
ZBH,-5.348783410764912,30.708432052810103,-0.23930832411524672,0.0782766443680949,8.69325402764664,-12.022210074811857,14.47906549636066,Health Care
REGN,12.484530329718794,30.05040416815543,0.3488981469616739,0.46079327309285945,8.901605885977398,-11.081256472456277,17.266516883183954,Health Care
CAT,19.119243748668286,31.957113045061707,0.5356943139553622,-0.3372533773875528,5.327518739754746,-15.410945454032607,9.832410402267172,Industrials
DE,18.21161481393865,32.63882597439793,0.4966972410911816,-0.4915106912405017,7.635243104415368,-15.16628358059614,12.540128192611338,Industrials
HON,6.303084866658429,26.676623811399335,0.16130545218468215,-0.18245814784398864,11.142545131488163,-12.882108819357708,14.035627322125643,Industrials
GE,20.359390702835082,38.743918725354675,0.4738650943643547,-0.31421792956172795,5.978844445593603,-16.439432375638784,13.74106197662344,Industrials
LMT,6.3751414609500845,25.700338853087324,0.17023672279031093,-0.6928767936222565,15.717674578096208,-13.652546664714105,10.190565616303994,Industrials
NOC,6.937674142161255,26.947274477557354,0.18323464015900845,0.05475677331789971,9.206450341228912,-10.698750063480041,12.222807401701392,Industrials
RTX,5.940451333907591,32.271535173436114,0.12210300231242552,-0.2969054102041147,12.931051038507496,-15.637905721591009,14.632449206373732,Industrials
BA,-12.117280388072661,50.29501469026372,-0.28068945749419444,-0.43220551149696,13.086684569635313,-27.244425206442852,21.767748257595905,Industrials
MMM,0.9400193792291148,28.693587002025023,-0.03694137720376606,0.8633059079221318,18.83171214100739,-11.692726583417532,20.693786093967407,Industrials
ITW,8.691763378994942,25.66146585447494,0.26077089348455934,0.1685817975541443,13.841728557093088,-12.231392880613713,15.363039514674915,Industrials
EMR,11.339769718388967,32.289931857962436,0.2892471176301307,-0.974496066384974,17.927488591084956,-21.019284608971216,15.129562189780568,Industrials
ETN,25.84066410166917,32.1613590720926,0.7412828558714872,0.22867320399331315,13.671645348906008,-12.747203133475255,20.916405267122066,Industrials
